id,user_id,company_id,type,permission,is_deleted,create_date,status,modify_date
202,639,39311,1,[],1,2026-04-20 16:42:34,0,2026-04-20 16:42:34
203,39335,39072,1,[],0,2026-04-21 12:06:16,0,2026-04-21 12:06:16
204,39335,38941,1,[],0,2026-04-21 12:15:10,0,2026-04-21 12:15:10
205,134,38941,1,[],0,2026-04-21 12:16:03,0,2026-04-21 12:16:03
206,39335,38941,1,[],0,2026-04-21 12:16:40,0,2026-04-21 12:16:40
207,1723,38941,1,[],1,2026-04-21 12:19:04,0,2026-04-21 12:19:04
208,39102,38941,1,[],1,2026-04-21 12:22:51,0,2026-04-21 12:22:51
209,39001,39072,1,[],1,2026-04-21 12:46:58,0,2026-04-21 12:46:58
210,14,39311,1,[],1,2026-04-21 13:03:44,0,2026-04-21 13:03:44
211,5225,38941,1,[],1,2026-04-21 14:24:09,0,2026-04-21 14:24:09
212,518,38941,1,[],1,2026-04-21 14:24:25,0,2026-04-21 14:24:25
213,39102,38941,1,[],1,2026-04-21 14:24:52,0,2026-04-21 14:24:52
214,40045,38941,1,[],1,2026-04-21 14:25:11,0,2026-04-21 14:25:11
215,40071,38941,1,[],0,2026-04-21 15:26:37,0,2026-04-21 15:26:37
216,40071,39256,1,[],0,2026-04-21 15:27:01,0,2026-04-21 15:27:01
217,40036,38941,1,[],1,2026-04-21 15:58:19,0,2026-04-21 15:58:19
218,40036,38941,1,[],1,2026-04-21 15:59:13,0,2026-04-21 15:59:13
219,39283,38941,1,[],1,2026-04-21 16:32:43,0,2026-04-21 16:32:43
220,39001,39072,1,[],1,2026-04-21 16:32:55,0,2026-04-21 16:32:55
221,39001,39256,1,[],1,2026-04-21 17:05:39,0,2026-04-21 17:05:39
222,39283,38941,1,[],0,2026-04-21 17:06:22,0,2026-04-21 17:06:22
223,39001,39256,1,[],0,2026-04-21 17:07:02,0,2026-04-21 17:07:02
224,40072,40073,1,[],0,2026-04-21 17:31:11,0,2026-04-21 17:31:11
225,39397,39256,1,[],1,2026-04-21 17:32:56,0,2026-04-21 17:32:56
226,39314,39256,1,[],1,2026-04-21 17:33:44,0,2026-04-21 17:33:44
227,39314,39256,1,[],1,2026-04-21 18:41:46,0,2026-04-21 18:41:46
228,39314,39256,1,[],0,2026-04-21 18:47:51,0,2026-04-21 18:47:51
229,39239,39256,1,[],1,2026-04-22 11:17:53,0,2026-04-22 11:17:53
230,5014,39072,1,[],1,2026-04-22 15:03:16,0,2026-04-22 15:03:16
231,5014,39072,1,[],1,2026-04-22 15:06:14,0,2026-04-22 15:06:14
232,40071,40074,1,[],0,2026-04-23 18:06:18,0,2026-04-23 18:06:18
233,40075,39256,1,[],0,2026-04-23 18:28:14,0,2026-04-23 18:28:14
234,40075,40076,1,[],0,2026-04-23 18:30:59,0,2026-04-23 18:30:59
235,40071,40078,1,[],0,2026-04-24 15:42:21,0,2026-04-24 15:42:21
236,5014,39311,1,[],0,2026-04-27 12:12:07,0,2026-04-27 12:12:07
237,40071,39311,1,[],0,2026-04-27 18:33:46,0,2026-04-27 18:33:46
238,39314,40080,1,[],0,2026-05-04 11:09:26,0,2026-05-04 11:09:26
239,40081,39311,1,[],1,2026-05-06 11:35:20,0,2026-05-06 11:35:20
240,40081,39081,1,[],0,2026-05-06 11:35:46,0,2026-05-06 11:35:46
241,18,40082,1,[],0,2026-05-06 17:51:20,0,2026-05-06 17:51:20
242,39388,39311,1,[],1,2026-05-06 19:08:49,0,2026-05-06 19:08:49
243,40083,38941,1,[],0,2026-05-07 11:40:57,0,2026-05-07 11:40:57
244,40085,40086,1,[],0,2026-05-11 12:13:58,0,2026-05-11 12:13:58
245,40085,39311,1,[],1,2026-05-11 12:26:19,0,2026-05-11 12:26:19
246,40088,40089,1,[],0,2026-05-13 14:48:54,0,2026-05-13 14:48:54
247,40088,40090,1,[],0,2026-05-13 14:49:04,0,2026-05-13 14:49:04
248,40088,40091,1,[],0,2026-05-13 14:50:38,0,2026-05-13 14:50:38
249,40088,40092,1,[],0,2026-05-13 14:51:01,0,2026-05-13 14:51:01
250,40088,39311,1,[],1,2026-05-13 15:06:55,0,2026-05-13 15:06:55
251,40085,39311,1,[],1,2026-05-13 15:08:17,0,2026-05-13 15:08:17
252,40085,39311,1,[],0,2026-05-13 15:11:32,0,2026-05-13 15:11:32
253,40088,40093,1,[],0,2026-05-13 17:39:43,0,2026-05-13 17:39:43
254,639,40095,1,[],0,2026-05-14 18:23:08,0,2026-05-14 18:23:08
255,5014,40108,1,[],0,2026-05-16 13:33:36,0,2026-05-16 13:33:36
256,8545,39256,1,[],1,2026-05-18 12:09:37,0,2026-05-18 12:09:37
257,38860,39256,1,[],0,2026-05-19 16:14:42,0,2026-05-19 16:14:42
258,19,39256,1,[],0,2026-05-19 16:24:15,0,2026-05-19 16:24:15
259,8545,2717,1,[],0,2026-05-21 16:29:22,0,2026-05-21 16:29:22
260,18,39256,1,[],0,2026-05-22 16:17:50,0,2026-05-22 16:17:50
261,5014,40121,1,[],0,2026-05-25 12:18:49,0,2026-05-25 12:18:49
262,5014,40122,1,[],0,2026-05-25 12:33:36,0,2026-05-25 12:33:36
263,5014,40123,1,[],0,2026-05-25 15:21:10,0,2026-05-25 15:21:10
264,5014,40124,1,[],0,2026-05-25 15:23:07,0,2026-05-25 15:23:07
265,38872,40125,1,[],0,2026-05-25 15:23:14,0,2026-05-25 15:23:14
266,5014,40126,1,[],0,2026-05-25 15:26:56,0,2026-05-25 15:26:56
267,5014,40127,1,[],0,2026-05-25 15:30:19,0,2026-05-25 15:30:19
268,5014,40128,1,[],0,2026-05-25 15:52:32,0,2026-05-25 15:52:32
269,5014,40129,1,[],0,2026-05-25 15:59:56,0,2026-05-25 15:59:56
270,5014,40130,1,[],0,2026-05-25 16:21:01,0,2026-05-25 16:21:01
271,5014,40131,1,[],0,2026-05-25 16:32:21,0,2026-05-25 16:32:21
272,8545,39256,1,[],0,2026-05-27 12:01:44,0,2026-05-27 12:01:44
273,39314,40136,1,[],0,2026-05-27 18:38:07,0,2026-05-27 18:38:07
274,40119,40137,1,[],0,2026-05-28 10:31:59,0,2026-05-28 10:31:59
275,8545,39361,1,,0,2026-05-28 12:49:59,1,2026-05-28 12:49:59
276,40138,2717,1,,0,2026-05-28 14:47:10,0,2026-05-28 14:47:10
277,18,1653,1,,0,2026-05-28 15:55:20,0,2026-05-28 15:55:20
278,39239,40141,1,[],0,2026-05-29 15:18:19,0,2026-05-29 15:18:19
279,40144,39072,1,[],0,2026-05-30 13:22:02,0,2026-05-30 13:22:02
280,40159,40166,1,[],0,2026-06-01 13:29:13,0,2026-06-01 13:29:13
281,38860,40189,1,[],0,2026-06-02 15:45:41,0,2026-06-02 15:45:41
282,40085,40199,1,[],0,2026-06-03 11:29:41,0,2026-06-03 11:29:41
283,40119,40200,1,[],0,2026-06-03 11:31:37,0,2026-06-03 11:31:37
284,40232,40234,1,[],0,2026-06-06 12:05:56,0,2026-06-06 12:05:56
285,38872,39256,1,[],0,2026-06-06 12:24:43,0,2026-06-06 12:24:43
286,40237,40238,1,[],0,2026-06-06 12:49:37,0,2026-06-06 12:49:37
287,40239,40242,1,[],0,2026-06-06 13:30:29,0,2026-06-06 13:30:29
288,40241,40243,1,[],0,2026-06-06 13:30:57,0,2026-06-06 13:30:57
289,40244,40246,1,[],0,2026-06-06 14:40:10,0,2026-06-06 14:40:10
290,40239,40247,1,[],0,2026-06-06 14:42:58,0,2026-06-06 14:42:58
291,40239,40248,1,[],0,2026-06-06 14:43:47,0,2026-06-06 14:43:47
292,40239,40249,1,[],0,2026-06-06 14:47:37,0,2026-06-06 14:47:37
293,40239,40250,1,[],0,2026-06-06 14:48:28,0,2026-06-06 14:48:28
294,40239,40251,1,[],0,2026-06-06 14:50:16,0,2026-06-06 14:50:16
295,40239,40252,1,[],0,2026-06-06 14:55:25,0,2026-06-06 14:55:25
296,40239,40253,1,[],0,2026-06-06 15:07:54,0,2026-06-06 15:07:54
297,40245,40254,1,[],0,2026-06-06 15:09:44,0,2026-06-06 15:09:44
298,40245,40256,1,[],0,2026-06-06 15:18:18,0,2026-06-06 15:18:18
299,639,40137,1,[],0,2026-06-09 12:28:57,0,2026-06-09 12:28:57
300,40265,39256,1,[],0,2026-06-09 15:58:52,0,2026-06-09 15:58:52
301,40085,40295,1,[],0,2026-06-09 16:09:01,0,2026-06-09 16:09:01
302,38860,39311,1,[],0,2026-06-09 16:11:46,0,2026-06-09 16:11:46
303,40290,40296,1,[],0,2026-06-09 16:23:21,0,2026-06-09 16:23:21
304,40289,40298,1,[],0,2026-06-09 16:52:23,0,2026-06-09 16:52:23
305,40279,39256,1,[],0,2026-06-09 17:43:52,0,2026-06-09 17:43:52
306,40265,39072,1,[],1,2026-06-10 11:39:48,0,2026-06-10 11:39:48
307,40290,39072,1,[],0,2026-06-10 11:41:30,0,2026-06-10 11:41:30
308,40312,40313,1,[],0,2026-06-10 13:07:07,0,2026-06-10 13:07:07
309,40290,40137,1,[],0,2026-06-10 13:18:36,0,2026-06-10 13:18:36
310,38860,39072,1,[],0,2026-06-10 13:25:19,0,2026-06-10 13:25:19
311,40312,39013,1,[],0,2026-06-10 14:45:34,0,2026-06-10 14:45:34
312,40317,40318,1,[],0,2026-06-10 14:53:11,0,2026-06-10 14:53:11
313,39314,39072,1,[],0,2026-06-10 15:36:03,0,2026-06-10 15:36:03
314,40290,40322,1,[],0,2026-06-10 17:22:49,0,2026-06-10 17:22:49
315,40325,40326,1,[],0,2026-06-11 10:58:50,0,2026-06-11 10:58:50
316,40279,40327,1,[],0,2026-06-11 13:02:41,0,2026-06-11 13:02:41
317,39239,39256,1,[],0,2026-06-11 16:58:34,0,2026-06-11 16:58:34
318,40325,39072,1,[],0,2026-06-11 17:30:20,0,2026-06-11 17:30:20
319,40290,39256,1,[],0,2026-06-12 12:51:13,0,2026-06-12 12:51:13
320,40331,40336,1,[],0,2026-06-12 14:51:48,0,2026-06-12 14:51:48
321,40279,40338,1,[],0,2026-06-12 15:56:54,0,2026-06-12 15:56:54
322,40279,40339,1,[],0,2026-06-12 16:32:13,0,2026-06-12 16:32:13
323,40331,40346,1,[],0,2026-06-12 18:23:27,0,2026-06-12 18:23:27
324,40119,40349,1,[],0,2026-06-12 18:36:11,0,2026-06-12 18:36:11
325,40352,39256,1,[],0,2026-06-13 12:39:39,0,2026-06-13 12:39:39
326,40360,39256,1,[],1,2026-06-13 16:36:26,0,2026-06-13 16:36:26
327,40362,40363,1,[],0,2026-06-15 12:53:12,0,2026-06-15 12:53:12
328,40290,40349,1,[],0,2026-06-15 18:35:59,0,2026-06-15 18:35:59
329,40386,39072,1,[],1,2026-06-16 16:54:33,0,2026-06-16 16:54:33
330,40399,40400,1,[],0,2026-06-16 17:46:42,0,2026-06-16 17:46:42
331,40403,40404,1,[],0,2026-06-16 17:56:37,0,2026-06-16 17:56:37
332,40119,40405,1,[],0,2026-06-16 18:01:07,0,2026-06-16 18:01:07
333,40408,40409,1,[],0,2026-06-16 18:19:09,0,2026-06-16 18:19:09
334,40411,40412,1,[],0,2026-06-16 18:28:28,0,2026-06-16 18:28:28
335,40413,40414,1,[],0,2026-06-16 18:35:07,0,2026-06-16 18:35:07
336,40415,40416,1,[],0,2026-06-16 18:46:55,0,2026-06-16 18:46:55
337,40397,40419,1,[],0,2026-06-17 11:28:35,0,2026-06-17 11:28:35
338,40420,40421,1,[],0,2026-06-17 11:35:54,0,2026-06-17 11:35:54
339,40422,40423,1,[],0,2026-06-17 11:56:45,0,2026-06-17 11:56:45
340,40427,40428,1,[],0,2026-06-17 12:49:06,0,2026-06-17 12:49:06
341,40431,40432,1,[],0,2026-06-17 13:19:46,0,2026-06-17 13:19:46
342,40433,40434,1,[],0,2026-06-17 13:25:47,0,2026-06-17 13:25:47
343,40435,40436,1,[],0,2026-06-17 13:41:48,0,2026-06-17 13:41:48
344,88,40437,1,[],0,2026-06-17 15:15:15,0,2026-06-17 15:15:15
345,40438,40439,1,[],0,2026-06-17 16:34:28,0,2026-06-17 16:34:28
346,40440,39256,1,[],0,2026-06-18 12:54:13,0,2026-06-18 12:54:13
347,40119,40451,1,[],0,2026-06-19 12:59:01,0,2026-06-19 12:59:01
348,40398,40454,1,[],0,2026-06-19 17:07:26,0,2026-06-19 17:07:26
349,40461,40462,1,[],0,2026-06-22 13:12:59,0,2026-06-22 13:12:59
350,40119,40463,1,[],0,2026-06-22 15:29:43,0,2026-06-22 15:29:43
351,40468,39072,1,[],0,2026-06-23 13:03:47,0,2026-06-23 13:03:47
