id,job,user,status,is_deleted,create_date,modify_date
238,12,765,1,0,2025-04-24 20:41:17,2025-04-24 20:41:17
239,11,723,1,0,2025-04-24 20:48:45,2025-04-24 20:48:45
240,10,771,1,0,2025-04-24 22:18:22,2025-04-24 22:18:22
241,44,771,1,0,2025-04-24 22:19:09,2025-04-24 22:19:09
242,13,769,1,0,2025-04-24 22:19:48,2025-04-24 22:19:48
243,11,772,1,0,2025-04-24 22:34:35,2025-04-24 22:34:35
244,12,784,1,0,2025-04-25 01:59:10,2025-04-25 01:59:10
245,11,740,1,0,2025-04-25 10:59:27,2025-04-25 10:59:27
246,30,786,1,0,2025-04-25 11:04:56,2025-04-25 11:04:56
247,5,763,1,0,2025-04-25 13:38:23,2025-04-25 13:38:23
248,30,763,1,0,2025-04-25 13:39:13,2025-04-25 13:39:13
249,11,763,1,0,2025-04-25 13:40:42,2025-04-25 13:40:42
250,48,801,1,0,2025-04-25 22:52:13,2025-04-25 22:52:13
251,42,801,1,0,2025-04-25 22:52:22,2025-04-25 22:52:22
252,22,801,1,0,2025-04-25 22:52:32,2025-04-25 22:52:32
253,16,801,1,0,2025-04-25 22:52:40,2025-04-25 22:52:40
254,10,802,1,0,2025-04-25 23:04:28,2025-04-25 23:04:28
255,7,806,1,0,2025-04-25 23:28:49,2025-04-25 23:28:49
256,11,812,1,0,2025-04-25 23:39:24,2025-04-25 23:39:24
257,7,818,1,0,2025-04-26 01:52:03,2025-04-26 01:52:03
258,7,820,1,0,2025-04-26 04:07:35,2025-04-26 04:07:35
259,41,820,1,0,2025-04-26 04:22:36,2025-04-26 04:22:36
260,12,821,1,0,2025-04-26 04:35:35,2025-04-26 04:35:35
261,12,822,1,0,2025-04-26 05:35:28,2025-04-26 05:35:28
262,16,826,1,0,2025-04-26 08:50:24,2025-04-26 08:50:24
263,44,829,1,0,2025-04-26 09:50:54,2025-04-26 09:50:54
264,10,829,1,0,2025-04-26 09:51:53,2025-04-26 09:51:53
265,12,830,1,0,2025-04-26 10:40:20,2025-04-26 10:40:20
266,10,831,1,0,2025-04-26 10:49:51,2025-04-26 10:49:51
267,12,678,1,0,2025-04-26 12:38:51,2025-04-26 12:38:51
268,11,834,1,0,2025-04-26 14:01:15,2025-04-26 14:01:15
269,11,788,1,0,2025-04-26 14:08:52,2025-04-26 14:08:52
270,22,313,1,0,2025-04-26 16:50:57,2025-04-26 16:50:57
271,51,313,1,0,2025-04-26 16:54:07,2025-04-26 16:54:07
272,12,840,1,0,2025-04-26 16:57:03,2025-04-26 16:57:03
273,7,699,1,0,2025-04-26 18:06:50,2025-04-26 18:06:50
274,10,846,1,0,2025-04-26 19:41:27,2025-04-26 19:41:27
275,16,847,1,0,2025-04-26 20:45:02,2025-04-26 20:45:02
276,16,854,1,0,2025-04-26 22:49:44,2025-04-26 22:49:44
277,12,856,1,0,2025-04-27 00:28:59,2025-04-27 00:28:59
278,13,366,1,0,2025-04-27 01:00:39,2025-04-27 01:00:39
279,12,862,1,0,2025-04-27 01:06:03,2025-04-27 01:06:03
280,30,863,1,0,2025-04-27 01:44:54,2025-04-27 01:44:54
281,16,865,1,0,2025-04-27 04:49:46,2025-04-27 04:49:46
282,30,866,1,0,2025-04-27 08:31:55,2025-04-27 08:31:55
283,11,868,1,0,2025-04-27 11:00:04,2025-04-27 11:00:04
284,16,869,1,0,2025-04-27 11:22:56,2025-04-27 11:22:56
285,30,506,1,0,2025-04-27 11:28:13,2025-04-27 11:28:13
286,11,872,1,0,2025-04-27 12:14:06,2025-04-27 12:14:06
287,10,875,1,0,2025-04-27 13:12:46,2025-04-27 13:12:46
288,11,882,1,0,2025-04-27 17:29:03,2025-04-27 17:29:03
289,12,885,1,0,2025-04-27 20:07:47,2025-04-27 20:07:47
290,13,887,1,0,2025-04-27 21:37:11,2025-04-27 21:37:11
291,7,892,1,0,2025-04-27 22:34:48,2025-04-27 22:34:48
292,7,899,1,0,2025-04-27 23:12:11,2025-04-27 23:12:11
293,13,906,1,0,2025-04-28 00:34:28,2025-04-28 00:34:28
294,16,906,1,0,2025-04-28 00:50:04,2025-04-28 00:50:04
295,13,901,1,0,2025-04-28 00:51:50,2025-04-28 00:51:50
296,51,481,1,0,2025-04-28 14:39:51,2025-04-28 14:39:51
297,50,481,1,0,2025-04-28 14:43:31,2025-04-28 14:43:31
298,49,481,1,0,2025-04-28 14:43:40,2025-04-28 14:43:40
299,48,481,1,0,2025-04-28 14:43:45,2025-04-28 14:43:45
300,45,481,1,0,2025-04-28 14:45:15,2025-04-28 14:45:15
301,12,926,1,0,2025-04-28 15:16:38,2025-04-28 15:16:38
302,11,928,1,0,2025-04-28 15:28:02,2025-04-28 15:28:02
303,38,938,1,0,2025-04-28 17:39:35,2025-04-28 17:39:35
304,30,938,1,0,2025-04-28 17:40:10,2025-04-28 17:40:10
305,12,943,1,0,2025-04-28 18:17:58,2025-04-28 18:17:58
306,11,942,1,0,2025-04-28 18:17:59,2025-04-28 18:17:59
307,13,949,1,0,2025-04-28 20:09:46,2025-04-28 20:09:46
308,30,950,1,0,2025-04-28 20:12:25,2025-04-28 20:12:25
309,13,952,1,0,2025-04-28 20:24:59,2025-04-28 20:24:59
310,7,852,1,0,2025-04-28 20:42:28,2025-04-28 20:42:28
311,12,956,1,0,2025-04-28 21:30:38,2025-04-28 21:30:38
312,7,958,1,0,2025-04-28 21:53:05,2025-04-28 21:53:05
313,23,962,1,0,2025-04-28 22:05:02,2025-04-28 22:05:02
314,16,965,1,0,2025-04-28 22:34:53,2025-04-28 22:34:53
315,10,971,1,0,2025-04-28 23:27:52,2025-04-28 23:27:52
316,11,972,1,0,2025-04-29 00:24:54,2025-04-29 00:24:54
317,11,974,1,0,2025-04-29 00:37:45,2025-04-29 00:37:45
318,13,975,1,0,2025-04-29 01:45:55,2025-04-29 01:45:55
319,59,979,1,0,2025-04-29 06:30:48,2025-04-29 06:30:48
320,7,980,1,0,2025-04-29 07:49:25,2025-04-29 07:49:25
321,41,980,1,0,2025-04-29 07:52:11,2025-04-29 07:52:11
322,63,982,1,0,2025-04-29 08:04:10,2025-04-29 08:04:10
323,16,984,1,0,2025-04-29 08:19:49,2025-04-29 08:19:49
324,13,883,1,0,2025-04-29 08:46:11,2025-04-29 08:46:11
325,11,988,1,0,2025-04-29 09:01:59,2025-04-29 09:01:59
326,13,990,1,0,2025-04-29 09:15:54,2025-04-29 09:15:54
327,13,994,1,0,2025-04-29 09:31:46,2025-04-29 09:31:46
328,13,995,1,0,2025-04-29 10:01:38,2025-04-29 10:01:38
329,30,1005,1,0,2025-04-29 11:20:40,2025-04-29 11:20:40
330,13,1012,1,0,2025-04-29 12:29:46,2025-04-29 12:29:46
331,7,1013,1,0,2025-04-29 12:34:51,2025-04-29 12:34:51
332,12,1015,1,0,2025-04-29 13:08:10,2025-04-29 13:08:10
333,13,1021,1,0,2025-04-29 13:54:05,2025-04-29 13:54:05
334,16,1024,1,0,2025-04-29 14:38:37,2025-04-29 14:38:37
335,31,1026,1,0,2025-04-29 15:51:32,2025-04-29 15:51:32
336,7,1027,1,0,2025-04-29 15:58:05,2025-04-29 15:58:05
337,38,375,1,0,2025-04-29 16:42:01,2025-04-29 16:42:01
338,23,1030,1,0,2025-04-29 17:53:06,2025-04-29 17:53:06
339,10,1033,1,0,2025-04-29 18:52:25,2025-04-29 18:52:25
340,58,1033,1,0,2025-04-29 18:53:23,2025-04-29 18:53:23
341,44,1033,1,0,2025-04-29 18:54:17,2025-04-29 18:54:17
342,59,1032,1,0,2025-04-29 18:54:24,2025-04-29 18:54:24
343,64,1032,1,0,2025-04-29 18:55:11,2025-04-29 18:55:11
344,62,1032,1,0,2025-04-29 18:55:37,2025-04-29 18:55:37
345,57,1032,1,0,2025-04-29 18:56:03,2025-04-29 18:56:03
346,10,1038,1,0,2025-04-29 21:10:25,2025-04-29 21:10:25
347,11,1045,1,0,2025-04-29 23:02:43,2025-04-29 23:02:43
348,23,1047,1,0,2025-04-29 23:39:42,2025-04-29 23:39:42
349,23,1051,1,0,2025-04-30 03:06:26,2025-04-30 03:06:26
350,16,1058,1,0,2025-04-30 10:05:53,2025-04-30 10:05:53
351,13,1064,1,0,2025-04-30 10:59:20,2025-04-30 10:59:20
352,13,1050,1,0,2025-04-30 11:32:45,2025-04-30 11:32:45
353,19,1050,1,0,2025-04-30 11:33:01,2025-04-30 11:33:01
354,10,708,1,0,2025-04-30 11:46:35,2025-04-30 11:46:35
355,12,147,1,0,2025-04-30 12:38:46,2025-04-30 12:38:46
356,13,1073,1,0,2025-04-30 13:36:03,2025-04-30 13:36:03
357,16,1073,1,0,2025-04-30 13:37:22,2025-04-30 13:37:22
358,12,1071,1,0,2025-04-30 13:40:36,2025-04-30 13:40:36
359,58,1082,1,0,2025-04-30 16:05:06,2025-04-30 16:05:06
360,57,1082,1,0,2025-04-30 16:05:21,2025-04-30 16:05:21
361,19,1082,1,0,2025-04-30 16:05:49,2025-04-30 16:05:49
362,13,1089,1,0,2025-04-30 17:19:50,2025-04-30 17:19:50
363,58,1095,1,0,2025-04-30 18:53:28,2025-04-30 18:53:28
364,57,1095,1,0,2025-04-30 18:53:40,2025-04-30 18:53:40
365,11,1100,1,0,2025-04-30 21:05:05,2025-04-30 21:05:05
366,16,1106,1,0,2025-04-30 22:21:03,2025-04-30 22:21:03
367,12,1107,1,0,2025-04-30 22:43:51,2025-04-30 22:43:51
368,12,1112,1,0,2025-04-30 23:42:56,2025-04-30 23:42:56
369,10,1115,1,0,2025-05-01 00:14:17,2025-05-01 00:14:17
370,2,1131,1,0,2025-05-01 11:36:50,2025-05-01 11:36:50
371,2,1134,1,0,2025-05-01 12:27:08,2025-05-01 12:27:08
372,13,1137,1,0,2025-05-01 12:46:38,2025-05-01 12:46:38
373,10,886,1,0,2025-05-01 13:44:15,2025-05-01 13:44:15
374,38,1139,1,0,2025-05-01 14:13:33,2025-05-01 14:13:33
375,11,930,1,0,2025-05-01 17:45:52,2025-05-01 17:45:52
376,65,930,1,0,2025-05-01 17:46:15,2025-05-01 17:46:15
377,61,930,1,0,2025-05-01 17:46:23,2025-05-01 17:46:23
378,64,930,1,0,2025-05-01 17:46:31,2025-05-01 17:46:31
379,38,1145,1,0,2025-05-01 17:49:23,2025-05-01 17:49:23
380,30,1145,1,0,2025-05-01 17:49:44,2025-05-01 17:49:44
381,12,1155,1,0,2025-05-01 20:18:03,2025-05-01 20:18:03
382,64,1156,1,0,2025-05-01 20:33:08,2025-05-01 20:33:08
383,16,853,1,0,2025-05-01 20:59:33,2025-05-01 20:59:33
384,11,1163,1,0,2025-05-02 00:42:04,2025-05-02 00:42:04
385,65,1165,1,0,2025-05-02 01:54:43,2025-05-02 01:54:43
