id,message_id,sender,receiver,message,doc,is_viewed,for_approval,view_datetime,is_deleted,create_date,modify_date
95,51,134,1750,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,0,1,,0,2025-07-30 12:43:06,2025-07-30 12:43:06
96,15,134,653,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-07-30 12:43:12,2025-07-30 12:43:12
97,15,134,653,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-07-30 12:44:43,2025-07-30 12:44:43
98,75,9801,2205,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,0,1,,0,2025-08-06 01:59:14,2025-08-06 01:59:14
99,77,3499,43,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-08-06 15:37:43,2025-08-06 15:37:43
100,80,10479,3335,R3c5RmFxbTRYaUYvOGVGWU5kZjhXZz09,,0,1,,0,2025-08-12 13:54:42,2025-08-12 13:54:42
101,85,1640,1640,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,0,1,,0,2025-08-14 12:16:12,2025-08-14 12:16:12
102,87,10800,6306,ZmZ5NmNoY0JVOWZvZU5CSmFwL2dLdz09,,0,1,,0,2025-08-15 00:57:18,2025-08-15 00:57:18
103,87,10800,6306,Y2YwWHVTNzBJYm1xUHZPcmtVc3hERm44RFVrSWJoTGFjVDhJSUVicEwwM0JaS0xyWkxPWDZTL1pTcm9YNU1BZU1JajVqQ24zdkFaUUdxVzExVnQ1SGc9PQ==,,0,1,,0,2025-08-15 00:57:54,2025-08-15 00:57:54
104,90,11206,8470,ZmZ5NmNoY0JVOWZvZU5CSmFwL2dLdz09,,1,1,,0,2025-08-19 07:49:06,2025-08-19 07:49:06
105,90,11206,8470,YWxOeVJOQTBhZG52eFpHMlgwb2crNHpiRVpBT0s5VEQ1NEM3S3dCdE5uOD0=,,1,1,,0,2025-08-19 07:49:14,2025-08-19 07:49:14
106,90,11206,8470,Qm83Y3czZDczUjhIUU5UUzNyRktmb2syMUJzYWZhWXJZWitIVEpML1d6SjNxMGRiSjZLV1FheE4yeWJwWnZxVEZxZGE0bXhnWHB5VjA3YWk0YkxublE9PQ==,,1,1,,0,2025-08-19 07:50:13,2025-08-19 07:50:13
107,92,8470,8470,WE50K3M4dEdoREN6c0pNa01rQ1J6VVRkY2FQaktna1lhTzJ2OE1JTW5OZWIwQUdrdzBwWCtqVzI0U2c1cjcrMA==,,1,1,,0,2025-08-19 17:58:41,2025-08-19 17:58:41
108,92,8470,8470,WE50K3M4dEdoREN6c0pNa01rQ1J6VVRkY2FQaktna1lhTzJ2OE1JTW5OZVRkRUtENFF5cU5OLzMvUkFHQzByeg==,,1,1,,0,2025-08-19 17:59:17,2025-08-19 17:59:17
