id,user,skill,rating,status,is_deleted,create_date,modify_date
6154,38760,17448,4,1,0,,
6166,38734,7270,5,1,0,,
6182,38672,13709,4,1,0,,
6183,38672,17389,2,1,0,,
6184,38672,18960,3,1,0,,
6185,38672,18961,3,1,0,,
6186,38672,18962,3,1,0,,
6188,38672,18958,3,1,0,,
6189,38672,17565,4,1,0,,
6190,38672,18959,4,1,0,,
6191,38672,8287,2,1,0,,
6192,38672,8196,2,1,0,,
6194,38672,18957,0,1,0,,
6195,38672,818,0,1,0,,
6196,38802,18957,5,1,0,,
6197,38802,18958,5,1,0,,
6198,38802,17565,5,1,0,,
6199,38802,18959,5,1,0,,
6200,38802,8287,5,1,0,,
6201,38802,8196,5,1,0,,
6202,38802,13709,5,1,0,,
6203,38802,17389,5,1,0,,
6204,38802,18960,5,1,0,,
6205,38802,18961,5,1,0,,
6206,38802,818,4,1,0,,
6207,38802,18962,5,1,0,,
6212,38797,17624,0,1,0,,
6213,38797,17404,0,1,0,,
6214,38797,17325,0,1,0,,
6215,38797,17513,0,1,0,,
6216,38797,7270,0,1,0,,
6217,38797,8196,0,1,0,,
6218,38797,18973,0,1,0,,
6219,38797,17628,0,1,0,,
6220,38797,17320,0,1,0,,
6221,38797,9980,0,1,0,,
6222,38797,10253,0,1,0,,
6223,38797,17623,0,1,0,,
6224,38797,18085,0,1,0,,
6225,38797,11855,0,1,0,,
6226,38797,17595,0,1,0,,
6227,38797,17327,0,1,0,,
6228,38797,18974,0,1,0,,
6229,38797,17642,0,1,0,,
6230,38797,17368,0,1,0,,
6231,38797,15909,0,1,0,,
6232,38797,18975,0,1,0,,
6233,38797,18976,0,1,0,,
6234,38800,2915,5,1,0,,
6235,38800,17448,3,1,0,,
6236,38809,17448,4,1,0,,
6237,38800,18571,4,1,0,,
6238,134,17448,4,1,0,,
6239,38845,8191,4,1,0,,
6240,38845,10445,4,1,0,,
6242,38851,17448,3,1,0,,
6243,38854,17605,3,1,0,,
6244,38854,17670,4,1,0,,
6245,38855,17448,3,1,0,,
6249,639,18980,3,1,0,,
6250,639,18981,3,1,0,,
6251,38860,18957,5,1,0,,
6264,31461,7,4,1,0,,
6265,31461,11,4,1,0,,
6270,5014,18968,5,1,0,,
6271,5014,12375,5,1,0,,
6272,5014,1963,5,1,0,,
6273,5014,18969,5,1,0,,
6274,5014,18970,5,1,0,,
6275,5014,18971,5,1,0,,
6276,5014,18151,5,1,0,,
6277,5014,18972,5,1,0,,
6278,5014,18973,0,1,0,,
6279,5014,17344,5,1,0,,
6280,5014,18974,5,1,0,,
6281,5014,18975,5,1,0,,
6282,5014,18976,5,1,0,,
6288,38593,6872,5,1,0,,
6295,26656,5791,4,1,0,,
6296,26656,14493,4,1,0,,
6300,38593,7604,5,1,0,,
6303,38900,8191,4,1,0,,
6306,38900,16558,3,1,0,,
6307,2670,15791,5,1,0,,
6308,2670,58,5,1,0,,
6309,2670,7582,5,1,0,,
6310,38900,16089,4,1,0,,
6314,26656,826,5,1,0,,
6315,26656,1068,5,1,0,,
6322,38593,9897,5,1,0,,
6324,38918,2530,4,1,0,,
6326,38938,17139,4,1,0,,
6328,38936,13832,5,1,0,,
6330,2670,7271,5,1,0,,
6332,38983,5862,5,1,0,,
6334,38828,12324,5,1,0,,
6337,38941,7631,5,1,0,,
6340,38985,18980,5,1,0,,
6341,38985,689,4,1,0,,
6342,38985,9980,4,1,0,,
6343,38985,10253,4,1,0,,
6344,39005,3338,4,1,0,,
6351,39039,238,4,1,0,,
6354,39049,14845,5,1,0,,
6355,39046,17484,5,1,0,,
6356,39046,942,5,1,0,,
6357,2670,660,2,1,0,,
6358,39053,14323,4,1,0,,
6359,39057,8191,5,1,0,,
6361,38872,8191,4,1,0,,
6362,38872,17781,4,1,0,,
6363,38829,1636,3,1,0,,
