id,name,status,user_id,user_defined,create_date,modify_date
14457,Spiritual Gifts,1,,1,,
14458,Spiritual Leadership,1,,1,,
14459,Spiritual Teacher,1,,1,,
14460,Spirometry,1,,1,,
14461,SPL,1,,1,,
14462,SPLAT,1,,1,,
14463,Splinting,1,,1,,
14464,Splits,1,,1,,
14465,Splunk,1,,1,,
14466,S-Plus,1,,1,,
14467,SPM,1,,1,,
14468,SPME,1,,1,,
14469,SPMI,1,,1,,
14470,Spokesperson,1,,1,,
14471,Sponsorship,1,,1,,
14472,Sponsorship Activation,1,,1,,
14473,Sponsorship Sales,1,,1,,
14474,Sporting Goods,1,,1,,
14475,Sports,1,,1,,
14476,Sportswear,1,,1,,
14477,Sports Betting,1,,1,,
14478,Sports Coaching,1,,1,,
14479,Sports Coverage,1,,1,,
14480,Sports Development,1,,1,,
14481,Sports Enhancement,1,,1,,
14482,Sports Industry,1,,1,,
14483,Sports Injuries,1,,1,,
14484,Sports Management,1,,1,,
14485,Sports Marketing,1,,1,,
14486,Sports Massage,1,,1,,
14487,Sports Medicine,1,,1,,
14488,Sports Nutrition,1,,1,,
14489,Sports Performance Enhancement,1,,1,,
14490,Sports Photography,1,,1,,
14491,Sports Psychology,1,,1,,
14492,Sports Writing,1,,1,,
14493,SPP,1,,1,,
14494,SPR,1,,1,,
14495,Spray Drying,1,,1,,
14496,Spray Foam Insulation,1,,1,,
14497,Spray Painting,1,,1,,
14498,Spray Tanning,1,,1,,
14499,Spreadsheets,1,,1,,
14500,Spread Betting,1,,1,,
14501,SpringSource,1,,1,,
14502,Spring Batch,1,,1,,
14503,Spring DI,1,,1,,
14504,Spring Framework,1,,1,,
14505,Spring Integration,1,,1,,
14506,Spring MVC,1,,1,,
14507,Spring Roo,1,,1,,
14508,Spring Security,1,,1,,
14509,Spring Webflow,1,,1,,
14510,Sprinkler,1,,1,,
14511,Sprinkler Systems,1,,1,,
14512,Sprint Planning,1,,1,,
14513,SPSS,1,,1,,
14514,SPSS Clementine,1,,1,,
14515,SPS 2003,1,,1,,
14516,SPT,1,,1,,
14517,SPUFI,1,,1,,
14518,Sputtering,1,,1,,
14519,Sputter Deposition,1,,1,,
14520,SPV,1,,1,,
14521,Spyglass,1,,1,,
14522,Spyware,1,,1,,
14523,SQL*Plus,1,,1,,
14524,SQL Azure,1,,1,,
14525,SQL CLR,1,,1,,
14526,SQL Clustering,1,,1,,
14527,SQL Injection,1,,1,,
14528,SQL Loader,1,,1,,
14529,SQL Navigator,1,,1,,
14530,SQL Server Management Studio,1,,1,,
14531,SQL Tuning,1,,1,,
14532,SRAM,1,,1,,
14533,SRDF,1,,1,,
14534,SRDS,1,,1,,
14535,SRED,1,,1,,
14536,SRM,1,,1,,
14537,SRM 5.0,1,,1,,
14538,SRP,1,,1,,
14539,SRST,1,,1,,
14540,SRT,1,,1,,
14541,SRTP,1,,1,,
14542,SRX,1,,1,,
14543,SSADM,1,,1,,
14544,SSAE 16,1,,1,,
14545,SSAS 2008,1,,1,,
14546,SSBI,1,,1,,
14547,SSCP,1,,1,,
14548,SSD,1,,1,,
14549,SSE,1,,1,,
14550,SSE2,1,,1,,
14551,SSEP,1,,1,,
14552,SSH,1,,1,,
14553,SSH Client,1,,1,,
14554,SSI,1,,1,,
14555,SSIS,1,,1,,
14556,SSL,1,,1,,
14557,SSL 9000J,1,,1,,
14558,SSL Certificates,1,,1,,
14559,SSL Duality,1,,1,,
14560,SSO,1,,1,,
14561,SSOP,1,,1,,
14562,SSP,1,,1,,
14563,SSPS,1,,1,,
14564,SSRS,1,,1,,
14565,STAAD,1,,1,,
14566,Staffing Services,1,,1,,
14567,Staff Augmentation,1,,1,,
14568,Staff Development,1,,1,,
14569,Staff Management,1,,1,,
14570,Staff Retention,1,,1,,
14571,Staff Supervision,1,,1,,
14572,Staff Training,1,,1,,
14573,Stage,1,,1,,
14574,Stage-Gate,1,,1,,
