id,company_id,benefit_id,description,status,sortOrder,is_deleted,create_date,modify_date
121,653,14,,1,,1,2025-07-17 15:17:15,2025-07-17 15:17:15
122,6569,2,,1,,0,2025-07-18 15:48:33,2025-07-18 15:48:33
123,6569,4,,1,,0,2025-07-18 15:48:40,2025-07-18 15:48:40
124,6569,7,,1,,0,2025-07-18 15:48:46,2025-07-18 15:48:46
125,6569,3,,1,,0,2025-07-18 15:48:52,2025-07-18 15:48:52
126,653,21,,1,,1,2025-07-19 10:57:53,2025-07-19 10:57:53
127,3055,33,,1,,0,2025-07-21 17:35:29,2025-07-21 17:35:29
128,3055,34,,1,,0,2025-07-21 17:35:40,2025-07-21 17:35:40
129,3055,35,,1,,0,2025-07-21 17:35:52,2025-07-21 17:35:52
130,3091,1,,1,,0,2025-07-21 17:42:07,2025-07-21 17:42:07
131,3091,17,,1,,0,2025-07-21 17:42:17,2025-07-21 17:42:17
132,3091,20,,1,,0,2025-07-21 17:42:21,2025-07-21 17:42:21
133,3091,27,,1,,0,2025-07-21 17:42:32,2025-07-21 17:42:32
134,2710,1,,1,,1,2025-07-22 12:11:29,2025-07-22 12:11:29
135,8470,2,,1,,0,2025-07-23 18:17:00,2025-07-23 18:17:00
136,13,3,,1,,1,2025-07-24 12:21:04,2025-07-24 12:21:04
137,13,6,,1,,1,2025-07-24 12:21:09,2025-07-24 12:21:09
138,2224,2,,1,,0,2025-07-24 16:29:29,2025-07-24 16:29:29
139,2224,5,,1,,0,2025-07-24 16:29:39,2025-07-24 16:29:39
140,2224,19,,1,,0,2025-07-24 16:29:49,2025-07-24 16:29:49
141,3503,4,,1,,0,2025-07-25 18:04:38,2025-07-25 18:04:38
142,3503,2,,1,,0,2025-07-25 18:05:01,2025-07-25 18:05:01
143,3503,20,,1,,0,2025-07-25 18:05:14,2025-07-25 18:05:14
144,1559,2,,1,,0,2025-07-30 18:07:27,2025-07-30 18:07:27
145,1559,4,,1,,1,2025-07-30 18:07:35,2025-07-30 18:07:35
146,1559,18,,1,,0,2025-07-30 18:07:51,2025-07-30 18:07:51
147,1559,20,,1,,0,2025-07-30 18:08:02,2025-07-30 18:08:02
148,1559,27,,1,,0,2025-07-30 18:08:09,2025-07-30 18:08:09
149,1559,35,,1,,0,2025-07-30 18:08:25,2025-07-30 18:08:25
150,9025,36,,1,,1,2025-07-31 15:24:15,2025-07-31 15:24:15
151,9025,37,,1,,0,2025-07-31 15:26:01,2025-07-31 15:26:01
152,2710,38,,1,,0,2025-08-02 00:16:08,2025-08-02 00:16:08
153,2710,2,,1,,0,2025-08-02 00:16:59,2025-08-02 00:16:59
154,2710,1,,1,,0,2025-08-02 00:17:44,2025-08-02 00:17:44
155,2292,2,,1,,0,2025-08-02 12:01:53,2025-08-02 12:01:53
156,2292,7,,1,,0,2025-08-02 12:02:02,2025-08-02 12:02:02
157,2292,4,,1,,0,2025-08-02 12:02:08,2025-08-02 12:02:08
158,3,5,,1,,0,2025-08-06 16:13:09,2025-08-06 16:13:09
159,3,1,,1,,0,2025-08-06 16:13:13,2025-08-06 16:13:13
160,3,22,,1,,0,2025-08-06 16:13:38,2025-08-06 16:13:38
161,3,21,,1,,0,2025-08-06 16:13:48,2025-08-06 16:13:48
162,653,13,,1,,0,2025-08-06 18:33:41,2025-08-06 18:33:41
163,1640,12,,1,,0,2025-08-07 17:07:39,2025-08-07 17:07:39
164,1640,22,,1,,0,2025-08-07 17:07:51,2025-08-07 17:07:51
165,1640,29,,1,,0,2025-08-07 17:07:59,2025-08-07 17:07:59
166,1672,2,,1,,0,2025-08-07 17:08:08,2025-08-07 17:08:08
167,1672,4,,1,,0,2025-08-07 17:08:12,2025-08-07 17:08:12
168,1672,20,,1,,0,2025-08-07 17:08:22,2025-08-07 17:08:22
169,1640,2,,1,,0,2025-08-07 17:08:23,2025-08-07 17:08:23
170,1640,35,,1,,0,2025-08-07 17:08:59,2025-08-07 17:08:59
171,1640,34,,1,,0,2025-08-07 17:09:07,2025-08-07 17:09:07
172,1640,28,,1,,0,2025-08-07 17:09:15,2025-08-07 17:09:15
173,1640,25,,1,,0,2025-08-07 17:09:23,2025-08-07 17:09:23
174,1640,5,,1,,0,2025-08-07 17:09:44,2025-08-07 17:09:44
175,653,17,,1,,1,2025-08-08 15:39:57,2025-08-08 15:39:57
176,11525,39,,1,,0,2025-08-22 22:52:04,2025-08-22 22:52:04
177,876,27,,1,,0,2025-08-27 23:44:53,2025-08-27 23:44:53
178,653,2,,1,,0,2025-08-28 11:15:16,2025-08-28 11:15:16
179,2831,2,,1,,0,2025-08-30 11:02:51,2025-08-30 11:02:51
180,2831,6,,1,,0,2025-08-30 11:03:04,2025-08-30 11:03:04
181,2831,27,,1,,0,2025-08-30 11:03:18,2025-08-30 11:03:18
182,2831,25,,1,,0,2025-08-30 11:03:34,2025-08-30 11:03:34
183,653,6,,1,,1,2025-09-03 16:54:45,2025-09-03 16:54:45
184,13684,20,,1,,0,2025-09-04 19:40:57,2025-09-04 19:40:57
185,13684,40,,1,,0,2025-09-04 19:41:33,2025-09-04 19:41:33
186,13684,41,,1,,0,2025-09-04 19:44:02,2025-09-04 19:44:02
187,2159,4,,1,,0,2025-09-05 18:15:54,2025-09-05 18:15:54
188,2159,20,,1,,0,2025-09-05 18:18:17,2025-09-05 18:18:17
189,2159,31,,1,,0,2025-09-05 18:18:31,2025-09-05 18:18:31
190,16567,27,,1,,0,2025-09-15 14:19:56,2025-09-15 14:19:56
191,16646,7,,1,,0,2025-09-18 13:12:13,2025-09-18 13:12:13
192,16646,2,,1,,0,2025-09-18 13:12:18,2025-09-18 13:12:18
193,16646,19,,1,,0,2025-09-18 13:12:31,2025-09-18 13:12:31
194,3357,20,,1,,0,2025-09-22 09:28:42,2025-09-22 09:28:42
195,3357,26,,1,,0,2025-09-22 09:28:50,2025-09-22 09:28:50
196,3357,27,,1,,0,2025-09-22 09:28:58,2025-09-22 09:28:58
197,3357,35,,1,,0,2025-09-22 09:29:11,2025-09-22 09:29:11
198,3357,40,,1,,0,2025-09-22 09:29:18,2025-09-22 09:29:18
199,3357,2,,1,,0,2025-09-22 09:29:25,2025-09-22 09:29:25
200,3357,3,,1,,0,2025-09-22 09:29:29,2025-09-22 09:29:29
201,19865,11,,1,,0,2025-09-24 11:13:16,2025-09-24 11:13:16
202,19865,22,,1,,0,2025-09-24 11:13:25,2025-09-24 11:13:25
203,19865,5,,1,,0,2025-09-24 11:14:08,2025-09-24 11:14:08
204,19865,24,,1,,0,2025-09-24 11:14:24,2025-09-24 11:14:24
205,19865,6,,1,,0,2025-09-24 11:14:34,2025-09-24 11:14:34
206,19865,42,,1,,0,2025-09-24 11:14:45,2025-09-24 11:14:45
207,20690,4,,1,,0,2025-09-26 17:07:41,2025-09-26 17:07:41
208,876,22,,1,,0,2025-10-04 14:48:07,2025-10-04 14:48:07
209,25491,26,,1,,0,2025-10-10 12:13:11,2025-10-10 12:13:11
210,25491,40,,1,,0,2025-10-10 12:13:25,2025-10-10 12:13:25
211,25491,42,,1,,0,2025-10-10 12:13:40,2025-10-10 12:13:40
212,653,11,,1,,0,2025-10-16 19:02:34,2025-10-16 19:02:34
213,3816,1,,1,,0,2025-10-23 20:23:42,2025-10-23 20:23:42
214,3816,26,,1,,0,2025-10-23 20:24:01,2025-10-23 20:24:01
215,3816,35,,1,,0,2025-10-23 20:24:09,2025-10-23 20:24:09
216,653,43,,1,,1,2025-11-10 16:25:47,2025-11-10 16:25:47
217,19500,42,,1,,0,2025-11-12 11:29:46,2025-11-12 11:29:46
218,19500,33,,1,,0,2025-11-12 11:29:56,2025-11-12 11:29:56
219,19500,31,,1,,0,2025-11-12 11:30:03,2025-11-12 11:30:03
220,19500,24,,1,,0,2025-11-12 11:30:10,2025-11-12 11:30:10
221,19500,2,,1,,0,2025-11-12 11:30:28,2025-11-12 11:30:28
222,34087,3,,1,,0,2025-11-13 13:18:28,2025-11-13 13:18:28
223,34087,20,,1,,0,2025-11-13 13:18:41,2025-11-13 13:18:41
224,34087,22,,1,,0,2025-11-13 13:18:53,2025-11-13 13:18:53
225,38680,44,,1,,0,2025-11-19 12:30:26,2025-11-19 12:30:26
226,38687,4,,1,,0,2025-11-19 15:47:29,2025-11-19 15:47:29
227,38687,5,,1,,0,2025-11-19 15:47:46,2025-11-19 15:47:46
228,38804,2,,1,,1,2025-11-29 13:41:11,2025-11-29 13:41:11
229,653,19,,1,,0,2025-12-02 12:14:25,2025-12-02 12:14:25
230,38849,3,,1,,0,2025-12-02 12:17:47,2025-12-02 12:17:47
231,38861,4,,1,,1,2025-12-15 16:05:28,2025-12-15 16:05:28
232,38861,2,,1,,1,2025-12-15 16:06:28,2025-12-15 16:06:28
233,38861,3,,1,,0,2025-12-15 16:06:34,2025-12-15 16:06:34
234,38861,5,,1,,0,2025-12-17 18:54:42,2025-12-17 18:54:42
235,38861,1,,1,,0,2025-12-17 18:55:04,2025-12-17 18:55:04
236,13,3,,1,,1,2025-12-18 11:41:02,2025-12-18 11:41:02
237,13,7,,1,,1,2025-12-18 11:41:09,2025-12-18 11:41:09
238,13,12,,1,,1,2025-12-18 13:27:56,2025-12-18 13:27:56
239,13,2,,1,,1,2025-12-18 13:32:06,2025-12-18 13:32:06
240,38754,2,,1,,0,2025-12-23 16:18:04,2025-12-23 16:18:04
241,38844,1,,1,,0,2025-12-24 18:32:26,2025-12-24 18:32:26
242,38844,4,,1,,0,2025-12-24 18:32:31,2025-12-24 18:32:31
243,38844,3,,1,,0,2025-12-26 13:32:37,2025-12-26 13:32:37
244,38844,5,,1,,0,2025-12-26 13:32:43,2025-12-26 13:32:43
245,38844,2,,1,,0,2025-12-26 13:32:50,2025-12-26 13:32:50
246,38680,4545,,1,,0,2025-12-31 12:55:07,2025-12-31 12:55:07
247,29366,1,,1,,1,2026-01-08 16:43:15,2026-01-08 16:43:15
248,13,2,,1,,0,2026-01-13 12:38:53,2026-01-13 12:38:53
249,13,11,,1,,0,2026-01-13 12:39:11,2026-01-13 12:39:11
250,13,5,,1,,0,2026-01-13 12:42:51,2026-01-13 12:42:51
251,459,2,,1,,1,2026-01-17 12:08:30,2026-01-17 12:08:30
252,459,45,,1,,1,2026-01-19 13:47:35,2026-01-19 13:47:35
253,39081,1,,1,,0,2026-01-23 15:59:13,2026-01-23 15:59:13
254,39081,2,,1,,0,2026-01-23 15:59:20,2026-01-23 15:59:20
255,38941,1,,1,,1,2026-01-30 18:10:17,2026-01-30 18:10:17
256,38941,2,,1,,1,2026-01-30 18:10:23,2026-01-30 18:10:23
257,38941,3,,1,,0,2026-01-30 18:10:26,2026-01-30 18:10:26
258,38941,45,,1,,1,2026-01-31 10:32:56,2026-01-31 10:32:56
259,38941,46,,1,,1,2026-01-31 10:33:08,2026-01-31 10:33:08
260,38941,47,,1,,1,2026-01-31 10:33:49,2026-01-31 10:33:49
261,38941,4,,1,,0,2026-01-31 11:50:27,2026-01-31 11:50:27
262,38941,46,,1,,1,2026-01-31 11:50:44,2026-01-31 11:50:44
263,38941,19,,1,,1,2026-01-31 11:52:39,2026-01-31 11:52:39
264,38941,1,,1,,0,2026-01-31 11:54:04,2026-01-31 11:54:04
265,38941,5,,1,,0,2026-01-31 11:54:18,2026-01-31 11:54:18
266,38941,6,,1,,0,2026-01-31 11:54:28,2026-01-31 11:54:28
267,38941,11,,1,,0,2026-01-31 11:54:37,2026-01-31 11:54:37
268,38941,20,,1,,0,2026-01-31 11:54:45,2026-01-31 11:54:45
269,38941,39,,1,,0,2026-01-31 11:54:49,2026-01-31 11:54:49
270,38941,46,,1,,0,2026-01-31 11:54:53,2026-01-31 11:54:53
271,38941,47,,1,,0,2026-01-31 11:54:56,2026-01-31 11:54:56
272,38941,44,,1,,0,2026-01-31 11:55:00,2026-01-31 11:55:00
273,38941,38,,1,,1,2026-01-31 11:55:05,2026-01-31 11:55:05
274,38941,17,,1,,0,2026-01-31 11:55:09,2026-01-31 11:55:09
275,38941,21,,1,,0,2026-01-31 11:55:24,2026-01-31 11:55:24
276,38941,22,,1,,0,2026-01-31 11:55:30,2026-01-31 11:55:30
277,38941,35,,1,,1,2026-01-31 11:55:35,2026-01-31 11:55:35
278,38941,36,,1,,1,2026-01-31 11:55:52,2026-01-31 11:55:52
279,38941,2,,1,,0,2026-02-03 10:31:57,2026-02-03 10:31:57
280,39013,22,,1,,0,2026-02-06 12:25:05,2026-02-06 12:25:05
281,39013,36,,1,,0,2026-02-06 12:25:22,2026-02-06 12:25:22
282,39013,46,,1,,0,2026-02-06 12:25:29,2026-02-06 12:25:29
283,39013,47,,1,,0,2026-02-06 12:25:46,2026-02-06 12:25:46
284,39072,2,,1,,1,2026-02-13 13:09:29,2026-02-13 13:09:29
285,39072,1,,1,,1,2026-02-13 13:09:32,2026-02-13 13:09:32
286,39312,3,,1,,0,2026-03-05 11:25:14,2026-03-05 11:25:14
287,39256,1,,1,,1,2026-03-05 16:55:55,2026-03-05 16:55:55
288,39256,3,,1,,1,2026-03-05 16:55:57,2026-03-05 16:55:57
289,39256,2,,1,,1,2026-03-05 16:55:59,2026-03-05 16:55:59
290,39072,2,,1,,1,2026-03-05 17:19:14,2026-03-05 17:19:14
291,39340,2,,1,,1,2026-03-11 18:33:23,2026-03-11 18:33:23
292,39340,1,,1,,0,2026-03-11 18:44:42,2026-03-11 18:44:42
293,39340,12,,1,,0,2026-03-11 18:44:56,2026-03-11 18:44:56
294,39072,3,,1,,1,2026-03-12 18:02:04,2026-03-12 18:02:04
295,39072,4,,1,,1,2026-03-13 16:48:41,2026-03-13 16:48:41
296,39072,5,,1,,1,2026-03-13 16:48:57,2026-03-13 16:48:57
297,38941,12,,1,,0,2026-03-13 17:31:43,2026-03-13 17:31:43
298,38941,19,,1,,0,2026-03-13 17:32:00,2026-03-13 17:32:00
299,39256,20,,1,,1,2026-03-13 18:27:34,2026-03-13 18:27:34
300,39072,11,,1,,1,2026-03-14 17:03:34,2026-03-14 17:03:34
301,39072,1,,1,,1,2026-03-14 17:40:42,2026-03-14 17:40:42
302,39256,18,,1,,1,2026-03-16 12:52:11,2026-03-16 12:52:11
303,39256,25,,1,,1,2026-03-16 12:52:54,2026-03-16 12:52:54
304,39256,4,,1,,1,2026-03-16 12:56:08,2026-03-16 12:56:08
305,39072,4,,1,,1,2026-03-18 15:55:49,2026-03-18 15:55:49
306,39072,4,,1,,1,2026-03-18 17:23:20,2026-03-18 17:23:20
307,39072,6,,1,,1,2026-03-18 17:23:50,2026-03-18 17:23:50
308,39072,11,,1,,1,2026-03-18 17:24:16,2026-03-18 17:24:16
309,39072,11,,1,,1,2026-03-19 17:37:15,2026-03-19 17:37:15
310,39072,14,,1,,1,2026-03-19 17:37:19,2026-03-19 17:37:19
311,39072,30,,1,,1,2026-03-19 17:37:42,2026-03-19 17:37:42
312,39072,5,,1,,1,2026-03-21 12:18:27,2026-03-21 12:18:27
313,39072,12,,1,,1,2026-03-21 12:19:21,2026-03-21 12:19:21
314,39072,23,,1,,1,2026-03-21 13:00:54,2026-03-21 13:00:54
315,39072,47,,1,,1,2026-03-23 11:56:15,2026-03-23 11:56:15
316,39072,45,,1,,1,2026-03-23 12:02:51,2026-03-23 12:02:51
317,39072,44,,1,,1,2026-03-23 12:03:41,2026-03-23 12:03:41
318,39072,11,,1,,1,2026-03-23 12:08:07,2026-03-23 12:08:07
319,39072,1,,1,,1,2026-03-23 12:37:25,2026-03-23 12:37:25
320,39072,2,,1,,1,2026-03-23 12:37:28,2026-03-23 12:37:28
321,39072,3,,1,,1,2026-03-23 12:37:32,2026-03-23 12:37:32
322,39072,4,,1,,1,2026-03-23 12:43:14,2026-03-23 12:43:14
323,39072,6,,1,,1,2026-03-23 12:44:34,2026-03-23 12:44:34
324,39072,20,,1,,1,2026-03-23 12:45:14,2026-03-23 12:45:14
325,39072,47,,1,,1,2026-03-23 12:45:36,2026-03-23 12:45:36
326,39072,2,,1,,1,2026-03-23 12:48:47,2026-03-23 12:48:47
327,39072,4,,1,,1,2026-03-23 12:55:25,2026-03-23 12:55:25
328,39072,3,,1,,1,2026-03-25 11:54:06,2026-03-25 11:54:06
329,39072,5,,1,,1,2026-03-25 11:54:19,2026-03-25 11:54:19
330,39072,14,,1,,1,2026-03-25 11:54:32,2026-03-25 11:54:32
331,39256,4,,1,,1,2026-03-30 11:08:44,2026-03-30 11:08:44
332,39256,6,,1,,1,2026-03-30 11:09:44,2026-03-30 11:09:44
333,39256,20,,1,,1,2026-03-30 11:10:55,2026-03-30 11:10:55
334,39256,11,,1,,1,2026-03-30 11:12:48,2026-03-30 11:12:48
335,39072,6,,1,,1,2026-03-30 16:13:07,2026-03-30 16:13:07
336,39072,15,,1,,1,2026-03-30 16:38:44,2026-03-30 16:38:44
337,39256,1,,1,,1,2026-04-06 12:28:54,2026-04-06 12:28:54
338,40054,2,,1,,0,2026-04-14 11:02:12,2026-04-14 11:02:12
339,40054,5,,1,,0,2026-04-14 11:02:21,2026-04-14 11:02:21
340,39311,2,,1,,0,2026-05-05 15:33:34,2026-05-05 15:33:34
341,39311,3,,1,,0,2026-05-05 15:33:50,2026-05-05 15:33:50
342,39311,4,,1,,0,2026-05-05 15:35:49,2026-05-05 15:35:49
343,39311,11,,1,,0,2026-05-05 15:35:56,2026-05-05 15:35:56
344,39311,12,,1,,0,2026-05-05 15:40:15,2026-05-05 15:40:15
345,39256,1,,1,,0,2026-05-06 12:17:01,2026-05-06 12:17:01
346,39256,48,,1,,0,2026-05-18 15:14:39,2026-05-18 15:14:39
347,39256,49,,1,,0,2026-05-18 15:14:49,2026-05-18 15:14:49
348,39256,39,,1,,0,2026-05-27 15:11:57,2026-05-27 15:11:57
349,40137,2,,1,,1,2026-06-08 12:50:11,2026-06-08 12:50:11
350,40137,3,,1,,0,2026-06-08 17:02:50,2026-06-08 17:02:50
351,40137,49,,1,,1,2026-06-08 17:03:23,2026-06-08 17:03:23
352,40137,4,,1,,0,2026-06-08 18:05:54,2026-06-08 18:05:54
353,40326,1,,1,,0,2026-06-11 11:28:50,2026-06-11 11:28:50
354,40326,4,,1,,1,2026-06-11 11:28:55,2026-06-11 11:28:55
355,40326,12,,1,,0,2026-06-11 11:28:59,2026-06-11 11:28:59
