original_id,original_name,canonical_name,reason
2580,Agent g?n?ral,Agent G N Ral,Word count mismatch
2599,Account-manager,Account Manager,Word count mismatch
2603,At-large member,At Large Member,Word count mismatch
2605,Senioroperat?r,Senioroperat R,Word count mismatch
2649,Editor-in-chief,Editor In Chief,Word count mismatch
2663,President-elect,President Elect,Word count mismatch
2664,Ph.d. candidate,Ph D Candidate,Word count mismatch
2701,Inter-office ae,Inter Office Ae,Word count mismatch
2708,Cashier & clerk,Cashier Clerk,Word count mismatch
2715,Prezes zarz?du,Prezes Zarz Du,Word count mismatch
2730,In-house lawyer,In House Lawyer,Word count mismatch
2801,Member-at-large,Member At Large,Word count mismatch
2804,Vice-presidente,Vice Presidente,Word count mismatch
2813,Ceo & president,Ceo President,Word count mismatch
2956,Associate i & a,Associate I A,Word count mismatch
2967,Agent d'accueil,Agent D Accueil,Word count mismatch
3022,Agent & advisor,Agent Advisor,Word count mismatch
3102,Pl/sql developer,Pl Sql Developer,Word count mismatch
3115,Sheriff's deputy,Sheriff S Deputy,Word count mismatch
3148,Master's student,Master S Student,Word count mismatch
3174,Professor & head,Professor Head,Word count mismatch
3240,Tool & die maker,Tool Die Maker,Word count mismatch
3303,Diretor t?cnico,Diretor T Cnico,Word count mismatch
3367,It-administrator,It Administrator,Word count mismatch
3408,Director m?dico,Director M Dico,Word count mismatch
3495,In-house counsel,In House Counsel,Word count mismatch
3628,Web ui developer,Web User Interface Developer,Word count mismatch
3770,Full-time student,Full Time Student,Word count mismatch
3771,Part-time faculty,Part Time Faculty,Word count mismatch
3817,Sales & marketing,Sales Marketing,Word count mismatch
3840,Reporter & editor,Reporter Editor,Word count mismatch
3861,Secretary-general,Secretary General,Word count mismatch
3940,Children's pastor,Children S Pastor,Word count mismatch
3945,Gesch?ftsf?hrer,Gesch Ftsf Hrer,Word count mismatch
4039,Student-assistent,Student Assistent,Word count mismatch
4047,Director t?cnico,Director T Cnico,Word count mismatch
4066,Anchor & reporter,Anchor Reporter,Word count mismatch
4156,Asp.net developer,Asp Net Developer,Word count mismatch
4340,Pre-sales manager,Pre Sales Manager,Word count mismatch
4433,Reporter & anchor,Reporter Anchor,Word count mismatch
4435,Chef d'entreprise,Chef D Entreprise,Word count mismatch
4550,R?dacteur en chef,R Dacteur En Chef,Word count mismatch
4562,Faculty & designer,Faculty Designer,Word count mismatch
4573,Aux.administrativo,Aux Administrativo,Word count mismatch
4581,Sr.sales executive,Senior Sales Executive,Word count mismatch
4649,Senior ui designer,Senior User Interface Designer,Word count mismatch
4660,Senior ux designer,Senior User Experience Designer,Word count mismatch
4685,Ux and ui designer,User Experience And User Interface Designer,Word count mismatch
4689,T?cnico comercial,T Cnico Comercial,Word count mismatch
4769,Ui and ux designer,User Interface And User Experience Designer,Word count mismatch
4779,Ceo and co-founder,Ceo And Co Founder,Word count mismatch
4812,Co-founder and ceo,Co Founder And Ceo,Word count mismatch
4871,Vp sales/marketing,Vp Sales Marketing,Word count mismatch
4875,Vp/general counsel,Vp General Counsel,Word count mismatch
4884,Gesch?ftsf?hrung,Gesch Ftsf Hrung,Word count mismatch
4920,Dyrektor oddzia?u,Dyrektor Oddzia U,Word count mismatch
4995,Deputy manager p&a,Deputy Manager P A,Word count mismatch
5000,Developer & tester,Developer Tester,Word count mismatch
5071,Sr.project manager,Senior Project Manager,Word count mismatch
5101,Directeur d'agence,Directeur D Agence,Word count mismatch
5103,Cirurgi?-dentista,Cirurgi Dentista,Word count mismatch
5112,E-commerce manager,E Commerce Manager,Word count mismatch
5161,Charg? d'affaires,Charg D Affaires,Word count mismatch
5210,Manager - accounts,Manager Accounts,Word count mismatch
5224,Vp/general manager,Vp General Manager,Word count mismatch
5247,Manager - projects,Manager Projects,Word count mismatch
5280,Service-pin member,Service Pin Member,Word count mismatch
5331,Part-time lecturer,Part Time Lecturer,Word count mismatch
5351,Software-entwickler,Software Entwickler,Word count mismatch
5402,Agent de s?curit?,Agent De S Curit,Word count mismatch
5419,President & founder,President Founder,Word count mismatch
5424,Directrice d'agence,Directrice D Agence,Word count mismatch
5448,R?dactrice en chef,R Dactrice En Chef,Word count mismatch
5488,Svp/general counsel,Svp General Counsel,Word count mismatch
5492,Founder & president,Founder President,Word count mismatch
5496,Java/j2ee developer,Java J2Ee Developer,Word count mismatch
5514,Assistante d'agence,Assistante D Agence,Word count mismatch
5524,Art & craft teacher,Art Craft Teacher,Word count mismatch
5548,Supervisor t?cnico,Supervisor T Cnico,Word count mismatch
5565,Front end developer,Frontend Developer,Word count mismatch
5587,Secretary-treasurer,Secretary Treasurer,Word count mismatch
5597,Teacher's assistant,Teacher S Assistant,Word count mismatch
5662,Profesor de ingl?s,Profesor De Ingl S,Word count mismatch
5666,Children's director,Children S Director,Word count mismatch
5674,Charg?e de mission,Charg E De Mission,Word count mismatch
5680,Technico-commercial,Technico Commercial,Word count mismatch
5693,Agente de neg?cios,Agente De Neg Cios,Word count mismatch
5701,Dise?ador gr?fico,Dise Ador Gr Fico,Word count mismatch
5723,Svp sales/marketing,Svp Sales Marketing,Word count mismatch
5797,Evp/general counsel,Evp General Counsel,Word count mismatch
5820,Senior ui developer,Senior User Interface Developer,Word count mismatch
5882,Attach?e de presse,Attach E De Presse,Word count mismatch
5929,Assistant-doctorant,Assistant Doctorant,Word count mismatch
5936,Post-doc researcher,Post Doc Researcher,Word count mismatch
5943,Designer & animator,Designer Animator,Word count mismatch
6012,Directeur g?n?ral,Directeur G N Ral,Word count mismatch
6014,Dir sales/marketing,Dir Sales Marketing,Word count mismatch
6044,Cirurgi?o dentista,Cirurgi O Dentista,Word count mismatch
6108,Key-account-manager,Key Account Manager,Word count mismatch
6118,Accountant & auditor,Accountant Auditor,Word count mismatch
6176,Studentermedhj?lper,Studentermedhj Lper,Word count mismatch
6183,Auditor & accountant,Auditor Accountant,Word count mismatch
6216,Technico-commerciale,Technico Commerciale,Word count mismatch
6304,Direcci?n comercial,Direcci N Comercial,Word count mismatch
6337,Counsellor & faculty,Counsellor Faculty,Word count mismatch
